ID	Genus	Species	Head_microbe	Thorax_microbe	Gaster_microbe	Latitude	Longitude	Elevation	Genetic_diversity	Mean_Temp	Mean_Precip
C-049	Camponotus	herculeanus	x	x	x	38.508	-109.29	2464	0.001992923	4.703666614	519
C-050	Camponotus	herculeanus	x	x	x	38.526	-109.281	2815	0.001886235	4.703666614	519
C-056	Camponotus	herculeanus	x	x	x	38.401	-108.325	2846	0.002036863	4.240500074	503
C-003	Camponotus	laevissimus	x	x	x	32.634	-109.816	2226	0.000703936	10.67749989	593
C-011	Camponotus	laevissimus	x	x	x	32.396	-110.692	2331	0.000779991	12.26	685
C-012	Camponotus	laevissimus	x	x	x	33.296	-110.84	2237	0.000772006	12.43416662	661
C-013	Camponotus	laevissimus	x	x	x	33.288	-110.825	2323	0.000781311	12.40766663	673
C-020	Camponotus	laevissimus	x	x	x	34.368	-110.996	2401	0.00082856	7.662000032	636
C-021	Camponotus	laevissimus	x	x	x	34.686	-111.384	2106	0.000890307	8.108500166	616
C-022	Camponotus	laevissimus	x	x	x	34.869	-111.48	2243	0.000872007	7.201333366	607
C-023	Camponotus	laevissimus	x	x	x	34.909	-111.529	2252	0.000841658	7.270666649	600
C-025	Camponotus	laevissimus	x	x	x	35.387	-111.868	2389	0.000874065	5.371500096	606
C-026	Camponotus	laevissimus	x	x	x	35.94	-111.939	2247	0.000861891	6.48183331	445
C-027	Camponotus	laevissimus	x	x	x	35.933	-111.918	2276	0.000837004	6.48183331	445
C-031	Camponotus	laevissimus	x	x	x	34.465	-112.44	1966	0.000799053	10.42449992	570
C-032	Camponotus	laevissimus	x	x	x	34.413	-112.43	2219	0.000912196	9.980000148	606
C-033	Camponotus	laevissimus	x	x	x	34.886	-111.684	2062	0.000913949	10.64766675	607
C-034	Camponotus	laevissimus	x	x	x	36.732	-112.175	2280	0.000913305	6.170000037	470
C-035	Camponotus	laevissimus	x	x	x	36.711	-112.168	2412	0.000910176	6.170000037	470
C-038	Camponotus	laevissimus	x	x	x	36.381	-112.35	2447	0.000901728	7.345666692	457
C-046	Camponotus	laevissimus	x	x	x	37.923	-109.488	2395	0.000800623	7.515833363	406
C-052	Camponotus	laevissimus	x	x	x	38.329	-109.196	2373	0.000788853	7.627500132	394
C-053	Camponotus	laevissimus	x	x	x	38.349	-108.433	2249	0.000841265	7.128833334	402
C-054	Camponotus	laevissimus	x	x	x	38.364	-108.423	2401	0.000805915	7.128833334	402
C-059	Camponotus	laevissimus	x	x	x	37.329	-107.137	2439	0.000910774	4.582166702	559
C-062	Camponotus	laevissimus	x	x	x	32.898	-105.813	2372	0.00071771	9.589166577	594
C-063	Camponotus	laevissimus	x	x	x	32.909	-105.814	2270	0.000725378	9.589166577	594
C-001	Camponotus	modoc	x	x	x	32.719	-109.967	2698	0.001349686	10.16866658	674
C-002	Camponotus	modoc	x	x	x	32.667	-109.873	2761	0.001323457	7.545833444	757
C-007	Camponotus	modoc	x	x	x	32.441	-110.786	2932	0.001013114	9.970166733	764
C-015	Camponotus	modoc	x	x	x	33.635	-109.329	2799	0.001816222	5.714333418	638
C-017	Camponotus	modoc	x	x	x	34.089	-109.567	2890	0.001803443	5.000666643	659
C-019	Camponotus	modoc	x	x	x	34.369	-110.996	2390	0.001687408	7.662000032	636
C-037	Camponotus	modoc	x	x	x	36.504	-112.161	2713	0.001883079	4.058833236	532
C-041	Camponotus	modoc	x	x	x	37.505	-112.616	2478	0.001948472	5.150666671	432
C-044	Camponotus	modoc	x	x	x	37.752	-111.965	2448	0.00199078	5.251166654	337
C-045	Camponotus	modoc	x	x	x	37.877	-109.45	2690	0.001690764	6.162166725	452
C-047	Camponotus	modoc	x	x	x	37.899	-109.544	2541	0.001562195	6.659833203	435
C-055	Camponotus	modoc	x	x	x	38.411	-108.373	2810	0.00178081	5.287833456	459
C-057	Camponotus	modoc	x	x	x	37.325	-107.461	2611	0.002109833	5.324500062	632
C-060	Camponotus	modoc	x	x	x	32.97	-105.728	2720	0.001529101	8.22816676	619
C-010	Camponotus	undescribed	x	x	x	32.419	-110.735	2486	0.000507176	11.61766653	686
C-016	Camponotus	undescribed	x	x	x	33.812	-109.159	2589	0.001042166	6.286166733	544
C-018	Camponotus	undescribed	x	x	x	34.327	-110.832	2303	0.00098627	7.949500116	609
C-005	Camponotus	vicinus	x	x	x	31.43	-110.29	2012	0.00220527	15.66916654	514
C-009	Camponotus	vicinus	x	x	x	32.419	-110.735	2486	0.002216025	11.61766653	686
C-039	Camponotus	vicinus	x	x	x	36.381	-112.35	2325	0.00207248	7.345666692	457
